x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
-17.93351949,6.559219807,-14.45281006,-4.732854939,0.381673258,2.563194366,"($1,306.52)",-89.39434768,-28.454044,-16.20129845,-0.01%,0.217010304,9.729891218,-0.786430936,0.666145909
-37.21475431,10.77492982,-15.38400393,-0.077339074,10.98377357,-15.21020566,($24.86),153.0326524,-32.55773585,69.67590257,0.00%,-3.584907997,35.72792619,-0.985552343,0.378411075
0.330441111,-19.60997161,-9.167911048,2.06412447,12.07168766,12.50614145,($110.85),-141.4372759,-20.7949517,55.04260442,0.00%,-3.991366162,-9.283522665,-3.394718432,0.624498219
-13.70976525,-8.011390375,6.759263887,1.727614531,-1.76838214,24.03973254,($324.43),51.03965288,-7.046907904,-31.42441911,0.01%,7.908896882,-2.891881674,-2.690222342,0.126621955
-4.202597931,7.076210192,-26.00491888,-4.269696238,-3.414224073,2.115988666,"$1,213.37 ",-31.04669979,19.06118191,-31.52551505,-0.01%,0.846718573,25.49747997,3.516801253,0.640024598
12.57027663,2.543882929,25.6736196,-0.842857968,3.40053114,37.17696301,"($1,508.42)",-98.95648431,11.73407332,100.6548899,0.00%,15.35946602,9.000781768,1.929145211,0.875989761
17.9493742,-35.40685337,-25.1649673,0.587439059,-13.78289373,-5.204894889,"($1,431.44)",-205.6382741,16.39903898,116.7497514,0.01%,5.964465661,15.85157585,-0.81940548,0.428533402
38.64526776,-21.87106573,-74.40551486,-9.707926295,6.114417281,-17.88343487,"$1,613.55 ",-239.1514318,28.57011554,-333.2610279,0.01%,5.556268526,-15.11218132,2.480845494,0.350310232
35.27988716,-2.004482578,-12.07197694,-1.020027643,3.250740852,-19.37785172,"$1,178.11 ",-108.2293483,-29.88638793,-126.4342982,0.00%,4.08589664,-10.55890154,1.700617587,0.612351249
-31.75664563,-5.499584654,6.198889039,-4.569550448,13.90239322,1.031500384,($312.04),299.0256987,24.33866572,-25.00183867,0.00%,4.204931614,-5.320925512,4.405564446,0.494438841
-18.49788351,-4.119073594,34.01932497,3.35170574,17.93609119,-3.831924893,$126.05 ,32.57611475,17.37088233,-132.5458212,0.00%,-1.323482302,-2.553099897,1.678022576,0.577132189
7.464153612,-9.292886696,17.06352137,-0.299147393,1.974367224,19.24992984,($950.04),-94.38866612,-25.93789557,18.38859769,0.00%,6.862412285,-18.18385928,-3.03614694,0.130611884
-21.37881354,-10.92318747,-40.69843592,5.112985036,-22.33239833,6.161898192,$357.42 ,172.6564782,-34.85307513,-31.95719186,0.00%,2.840320493,-18.39928374,-2.022681073,0.317292654
