x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,y
-17.93351949,Jun,6.559219807,-14.45281006,-4.732854939,0.381673258,2.563194366,"($1,306.52)",-89.39434768,-28.454044,-16.20129845,-0.01%,0.217010304,tesla,thurday,9.729891218,-0.786430936,small,1
-37.21475431,July,10.77492982,-15.38400393,-0.077339074,10.98377357,-15.21020566,($24.86),153.0326524,-32.55773585,69.67590257,0.00%,-3.584907997,Toyota,thur,35.72792619,-0.985552343,small,0
0.330441111,Aug,-19.60997161,-9.167911048,2.06412447,12.07168766,12.50614145,($110.85),-141.4372759,-20.7949517,55.04260442,0.00%,-3.991366162,bmw,wednesday,-9.283522665,-3.394718432,small,1
-13.70976525,Aug,-8.011390375,6.759263887,1.727614531,-1.76838214,24.03973254,($324.43),51.03965288,-7.046907904,-31.42441911,0.01%,7.908896882,Toyota,wed,-2.891881674,-2.690222342,small,0
-4.202597931,May,7.076210192,-26.00491888,-4.269696238,-3.414224073,2.115988666,"$1,213.37 ",-31.04669979,19.06118191,-31.52551505,-0.01%,0.846718573,Honda,wednesday,25.49747997,3.516801253,small,1
12.57027663,July,2.543882929,25.6736196,-0.842857968,3.40053114,37.17696301,"($1,508.42)",-98.95648431,11.73407332,100.6548899,0.00%,15.35946602,Toyota,thurday,9.000781768,1.929145211,small,1
17.9493742,Jun,-35.40685337,-25.1649673,0.587439059,-13.78289373,-5.204894889,"($1,431.44)",-205.6382741,16.39903898,116.7497514,0.01%,5.964465661,bmw,thurday,15.85157585,-0.81940548,small,0
38.64526776,Jun,-21.87106573,-74.40551486,-9.707926295,6.114417281,-17.88343487,"$1,613.55 ",-239.1514318,28.57011554,-333.2610279,0.01%,5.556268526,ford,wed,-15.11218132,2.480845494,small,0
35.27988716,Jun,-2.004482578,-12.07197694,-1.020027643,3.250740852,-19.37785172,"$1,178.11 ",-108.2293483,-29.88638793,-126.4342982,0.00%,4.08589664,volkswagon,thurday,-10.55890154,1.700617587,medium,1
-31.75664563,July,-5.499584654,6.198889039,-4.569550448,13.90239322,1.031500384,($312.04),299.0256987,24.33866572,-25.00183867,0.00%,4.204931614,Honda,thurday,-5.320925512,4.405564446,small,0
-18.49788351,July,-4.119073594,34.01932497,3.35170574,17.93609119,-3.831924893,$126.05 ,32.57611475,17.37088233,-132.5458212,0.00%,-1.323482302,Toyota,thurday,-2.553099897,1.678022576,small,1
7.464153612,Aug,-9.292886696,17.06352137,-0.299147393,1.974367224,19.24992984,($950.04),-94.38866612,-25.93789557,18.38859769,0.00%,6.862412285,bmw,thurday,-18.18385928,-3.03614694,small,0
-21.37881354,May,-10.92318747,-40.69843592,5.112985036,-22.33239833,6.161898192,$357.42 ,172.6564782,-34.85307513,-31.95719186,0.00%,2.840320493,Toyota,thurday,-18.39928374,-2.022681073,small,0
49.36373617,Aug,-23.55926023,-26.71752557,-1.266378056,-2.767417105,14.88118331,($528.05),149.371788,32.40332901,7.60291211,0.00%,-4.28413631,bmw,thur,1.445234743,-5.933852025,small,0
-5.54180998,Apr,-12.61046824,9.841636967,3.536009884,-3.800900702,14.16553446,($840.25),162.1630018,2.04188916,-23.20093926,0.00%,1.29213138,volkswagon,tuesday,-10.62910688,2.428081379,small,1
28.36365362,sept.,-4.690589489,-11.37259054,0.025580755,-1.973015586,-3.642928551,$472.13 ,-105.7483659,-61.88917394,-31.43415875,-0.01%,-6.049619846,volkswagon,thurday,21.39372556,-0.256964869,small,0
5.581232396,Jun,2.283373758,-0.806802875,5.843896581,-7.306787599,15.48056682,"$1,063.24 ",-67.47707029,-72.98964431,-47.31061594,-0.01%,-2.519369499,volkswagon,wednesday,-8.756405322,3.420032188,medium,1
-14.79777583,July,32.03320318,-12.75045231,5.195721991,3.527985253,26.52606169,$294.29 ,-56.75624891,-27.15329123,-36.17074174,0.01%,4.066857644,chrystler,thurday,12.91713733,1.589396606,small,0
-2.969843783,Aug,17.30650415,-28.73976862,-2.368598091,-6.429452723,34.98149616,"($1,223.38)",-107.4083486,-23.41675543,-65.60192457,-0.01%,7.382389424,volkswagon,thurday,-11.75662168,-1.256236289,small,1
26.22584297,May,-19.28584459,26.92750575,-8.584400264,-5.973278439,7.969012671,($519.26),28.93415904,-33.30662359,-156.5638673,0.00%,1.921241956,volkswagon,thurday,-10.99799414,4.047439724,small,0
26.89596206,July,-14.65704289,58.02587164,1.353890479,-10.90533721,-8.219071948,$786.30 ,-24.09331474,-23.14287071,117.184749,-0.01%,11.51815763,Toyota,wed,14.74187864,-1.67943779,medium,0
21.76155282,Aug,-17.10681291,-25.92049021,1.968519735,-8.340112295,4.167777595,$149.84 ,-14.65389399,9.810871689,-34.1554328,0.01%,1.029301131,tesla,thur,4.640949556,0.670245753,small,1
30.58190185,July,1.030909194,-45.7746564,-5.960377628,-12.36780207,0.967049913,($364.82),15.10600796,-15.37626467,33.62853281,-0.01%,-7.800447529,bmw,thur,-7.950151553,-1.78889455,small,0
-6.953462778,sept.,-28.27518078,6.641348301,3.125923925,-7.438962537,16.78735065,"$2,307.85 ",85.39054728,25.65220245,-178.1861053,0.01%,2.285040903,bmw,thurday,4.260435195,1.231693052,small,0
7.997618895,Aug,-17.28438221,59.04577397,-3.160286338,3.007891051,11.52312949,"$1,449.48 ",8.808325407,24.16520552,-118.7288157,0.01%,2.867767007,volkswagon,wednesday,6.606967016,-2.818816975,small,0
-70.50580007,July,-26.3115073,-41.37751111,2.877077383,3.509132192,9.739455161,"($1,216.98)",86.56239266,-19.86640264,-102.0971559,0.01%,-5.208325642,volkswagon,wednesday,10.15599741,-0.638791928,small,1
16.29722173,July,-0.1966413,-32.71587303,-7.787968551,3.698004982,-14.0219266,($603.37),-115.103679,24.20741825,-109.0447455,0.00%,9.363892318,Honda,wednesday,-7.163536074,1.127655521,small,0
41.15831463,sept.,-19.76034923,-86.89771426,-1.749751247,-2.396620561,37.31456863,"($2,850.00)",-458.8195823,-46.81724854,112.5913217,0.00%,3.100942578,Toyota,thur,9.516791109,-3.885346725,small,0
0.595992215,sept.,-15.22444573,-10.34945996,-1.075262559,-14.31697938,-11.25899704,$39.19 ,128.8768084,0.1060124,-41.73188161,-0.01%,-10.4257051,Honda,thur,-12.91514034,2.394542092,large,0
3.911653745,Aug,0.337281286,-22.93290173,0.657838499,2.820018275,2.605202691,$489.89 ,6.994659318,-2.814770341,-32.93978281,0.02%,-3.78422537,Toyota,wed,-9.890781805,0.498238396,small,0
-12.21517762,sept.,19.8295383,12.80233149,2.415915642,3.964726553,21.33645131,"($1,029.88)",121.8325305,69.21185366,135.4113941,-0.01%,8.027460984,Toyota,thur,-4.417961193,0.324675102,small,1
12.90617483,July,-38.35912105,-13.03766527,-6.332108344,5.078431127,29.32085863,$803.80 ,79.39524115,11.71374957,-72.5050945,0.00%,8.350695081,Honda,thur,5.837607036,-1.089984321,small,1
-19.02415658,July,35.15747832,19.35218464,-0.114008228,-5.834535284,32.9878821,$336.47 ,-187.9666235,-11.8935639,-40.30054121,0.00%,0.253632537,volkswagon,wed,-0.474893572,1.664100048,small,0
-38.57681489,Oct,15.91024476,-66.22763806,-3.336378773,17.58700319,-15.60566197,"$1,636.34 ",255.3734943,21.36120098,-21.58090468,0.01%,-6.325337814,Toyota,wednesday,36.75504216,0.045345949,small,0
33.44961886,May,-13.89680695,2.036249962,3.879976605,11.39993464,5.323171143,$662.12 ,2.584242036,20.47710016,-2.703930931,0.01%,-0.199141035,bmw,wednesday,-7.997163463,-2.476276912,small,0
8.237661779,July,-24.65950378,5.236762502,3.110547512,-5.002486064,19.71647204,"($1,079.98)",73.82507619,16.26366576,-65.91692927,-0.01%,-7.256560754,Honda,wed,-9.166763386,2.559924745,small,0
-2.561673119,Apr,-25.18243639,46.60982471,1.061712282,-3.959132826,-11.41588652,$55.89 ,142.2407582,2.001781393,-76.54539378,-0.01%,-1.673310691,bmw,wed,-12.44385678,-0.290063539,small,0
24.90924041,Apr,-5.83634803,-14.32137707,-5.474064144,-1.526338199,26.26398143,$14.94 ,158.9583592,-19.66697562,163.7031602,0.02%,0.760862313,Honda,thur,6.664333994,-7.22425631,small,0
-7.978437818,July,-37.98927744,69.8584634,-6.976017022,3.708267621,7.009398881,($170.49),-91.4928968,23.67554565,36.10908366,0.02%,-1.875795323,Honda,thurday,-25.74118264,-8.486968135,small,1
34.76220271,Jun,-13.83469557,-41.1531156,2.706113024,-8.161222293,4.646591951,$29.52 ,-42.3978717,-47.80574235,-19.10424276,-0.01%,4.000630868,Toyota,wed,-13.11226086,-0.902273212,small,0
-14.53217797,sept.,22.88733839,32.48723543,2.144922114,0.703621349,2.207831543,$187.49 ,-73.60488312,-68.54641138,6.691078122,0.00%,7.656532198,bmw,wednesday,21.5136704,4.182250813,medium,1
-10.60924522,Jun,-24.22220338,23.4798865,0.064256122,0.088779117,31.71669045,($606.03),179.8999945,1.518129375,4.885995724,0.01%,1.979993416,tesla,thur,11.24877962,0.661410149,small,1
20.80143831,Jun,-20.15218911,-47.72753639,-8.282838829,12.56055413,15.44381957,$416.90 ,14.78965256,-42.71527577,-178.6714642,-0.01%,-6.458118585,volkswagon,wed,5.551470306,3.806259417,large,0
17.92918021,Jun,-23.81465835,-10.2459184,6.353944627,-18.08053038,-47.12673954,"$2,492.07 ",10.86682181,62.81023399,-20.69658791,0.02%,-5.498879219,volkswagon,thurday,-28.53498759,2.0667265,small,0
-8.465555563,May,-5.722609402,-28.88085936,1.421031651,21.2000064,5.93923884,$353.46 ,-191.8998666,-27.68262939,-29.41657756,0.00%,0.256608716,bmw,wed,15.3516411,-6.042149824,small,1
-6.471349503,Jun,1.777238172,12.97050021,-0.767977627,9.929348468,-4.429671877,"$1,807.54 ",-7.101908807,73.00491854,12.89575529,0.01%,-7.143565152,bmw,wednesday,2.456585343,1.76479866,small,0
13.25933353,sept.,3.868108674,5.882231663,3.700660664,19.16554489,13.64966422,"($1,881.36)",-167.9251575,-43.64043463,-92.18422003,-0.02%,10.10811829,chrystler,thurday,-1.628900435,2.150854309,small,1
-44.9932791,Dev,17.29282016,13.75808496,2.770758675,-7.591220678,-5.702628936,"($2,042.77)",-162.4251663,6.768269642,142.1632387,-0.01%,7.693653424,bmw,wed,5.742464707,-1.447948343,small,0
30.44837752,sept.,-29.91086457,34.59765538,1.497816694,-21.31402498,-3.659779811,$815.18 ,-44.65800563,3.177821599,108.9197008,0.00%,7.759174378,Toyota,wed,18.5644122,-3.619157884,small,0
-38.07250153,Jun,-3.334546999,-51.00257075,-6.356564903,20.51729325,-15.76300008,($778.96),41.77952333,-40.6959248,48.46239875,0.00%,1.566889278,Honda,wednesday,19.25735069,-2.228376277,medium,1
40.20193122,July,2.764104989,2.807906653,-3.15232559,-8.411397849,-22.07456062,$487.64 ,-60.22201697,-10.60057753,97.50837503,-0.01%,-10.06631036,Toyota,thurday,-4.633556049,-4.361360213,small,0
-22.16254509,Jun,-3.834535108,4.467328271,0.267925212,10.01842472,10.69870822,$98.70 ,-167.5756345,5.673579594,-25.16400324,0.02%,-4.601501151,volkswagon,thurday,-1.17312558,0.468737468,small,0
34.46646777,sept.,12.57386329,-8.115743151,2.674816129,-1.98873535,7.579549862,"($2,103.42)",37.27899446,14.43825683,87.77474947,0.00%,10.66636696,Toyota,thurday,-20.39166634,-0.23257307,medium,0
6.85369045,sept.,-8.728059219,19.03415106,3.832091839,16.50482033,-3.305453324,$445.97 ,-99.17912278,28.50181673,-58.71645539,-0.01%,5.645399241,Toyota,thurday,20.17014831,1.405413495,small,0
7.406560242,July,-21.45755338,-53.78158941,-6.664005367,11.84188041,-12.23163404,$232.69 ,93.63321135,-22.04988635,27.23778254,0.01%,-2.677096279,nissan,wed,-5.650500183,-0.588169319,medium,1
-31.7846474,July,-0.301018944,0.690982286,0.17796457,14.06634624,32.55424428,($105.65),-84.08752593,29.65538707,-49.86260322,0.00%,3.593975805,volkswagon,wed,21.88056771,3.764221471,small,0
-3.133332063,Jun,0.19322566,-19.87018552,-0.905554524,3.770094601,-0.540226632,"($2,274.28)",-191.7776277,58.63988627,-2.29931421,-0.01%,-3.749532683,volkswagon,thur,17.52854586,0.519801716,medium,0
